Informazioni cronologiche,Utilizzi una macchina in maniera regolare?,Hai un telefono Android o Apple?,Ti connetti mai al bluetooth della tua macchina?,Quanto spesso ti connetti al bluetooth quando sei nella tua auto?,Ti ricordi indicativamente l'ultima volta?,Si connette in maniera automatica o ogni volta lo fai manualmente?,Quanto spesso ti capita di collegarti al bluetooth di una macchina altrui come ospite?,La tua macchina ha un sistema di Apple Car Play/Android Auto?, Quanto spesso ti capita di collegarti a Apple Car Play o Android auto sulla tua macchina?,Utilizza un sistema con il cavo o wireless?,Quanto spesso ti capita di collegarti a Apple Car Play/Android Auto di una macchina altrui come ospite?,Quanto spesso ti capita di mettere in carica il telefono in macchina?,Quando lo carichi in macchina dove lo colleghi?,Hai un WiFi in casa che usi spesso dal telefono?,Quanto spesso ti capita di collegarti a una rete wifi con il telefono quando sei a lavoro/Università?,Quanto spesso vai a lavoro/Università in macchina? (anche solo per fare il cambio con un mezzo pubblico),Quanto è lungo approssimativamente il tragitto in macchina (Km)? Indicare solo il numero,Più o meno quanto ci metteresti?,Quanti giorni a settimana vai indicativamente a lavoro/università? ,Qual è l'orario in cui parti da casa per andarci più spesso attualmente?,Qual è l'orario in cui riparti per tornare a casa più spesso attualmente?,Sei solito prendere la macchina per altre attività che svolgi regolarmente?,"Fai qualche esempio di attività che svolgi regolarmente andandoci con la tua auto indicando il giorno e l'ora. Non serve che specifichi il tipo di attività.
Per esempio: venerdì alle 18, sabato alle 12.
Oppure lunedì martedì venerdì alle 20.
Oppure 3 volte alle 21.
Più preciso sarai a formattare e più sarà facile lavorare con i dati ",Sesso,Età
10/05/2024 18.13.28,Si,Android,Si,Sempre,Ieri,Sempre automatica,Mai,Si,Spesso,Cavo,Mai,Qualche volta,Direttamente all'auto,Si,Spesso,No,3,0.15.00,5,10.00.00,18.00.00,Si,"Tutti i sabati mattina dalle 11 fino alle 13
Tutti i sabati mattina dalle 15 alle 17
Tutti i venerdì sera dalle 21 alle 22",M,21
10/05/2024 20.17.40,Si,Android,Si,Spesso,Questa settimana,Sempre manualmente,Mai,No,Mai,,,Raramente,Accendisigari,No,Mai,No,0.05,0.02.00,5,7.00.00,19.00.00,Si,Ogni sabato alle 13.30,,
11/05/2024 13.23.06,Si,Android,Si,Sempre,Oggi,Sempre automatica,Mai,Si,Sempre,Wireless,Mai,Spesso,Direttamente all'auto,Si,Qualche volta,Mai,10,0.20.00,4,9.00.00,17.00.00,Si,Tutte le sere alle 21.30,,
11/05/2024 13.28.43,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Qualche volta,Si,Sempre,Cavo,Raramente,Sempre,Direttamente all'auto,No,Mai,Sempre,8,0.20.00,4,7.30.00,20.30.00,Si,"Tutti i venerdì alle 18.30 fino alle 00
Tutti i sabati dalle 10.30 fino alle 13.30

",,
11/05/2024 13.31.59,Si,Apple,No,,,,Mai,No,,,Mai,Sempre,Accendisigari,Si,Spesso,Mai,3.8,0.15.00,5,10.00.00,20.00.00,Si,"Ogni venerdì dalle 8.30 alle 10.30
Ogni sabato dalle 10 alle 13.30",,
12/05/2024 12.06.49,Si,Android,Si,Qualche volta,Questa settimana,Sempre automatica,Raramente,No,,,Mai,Sempre,"Accendisigari, Direttamente all'auto",Si,Spesso,Raramente,3,0.12.00,4,10.00.00,16.00.00,Si,Ogni giovedì alle 19.30,,
12/05/2024 12.07.08,No,Apple,,,,,,,,,,,,,,,,,,,,,,,
12/05/2024 19.07.19,Si,Android,Si,Sempre,Oggi,Sempre automatica,Qualche volta,Si,Qualche volta,Cavo,Raramente,Spesso,Direttamente all'auto,Si,Spesso,Raramente,20,0.30.00,1,8.00.00,5.00.00,Si,,,
12/05/2024 19.10.39,Si,Android,Si,Sempre,Oggi,Sempre automatica,Raramente,No,,,Qualche volta,Qualche volta,Direttamente all'auto,Si,Spesso,Spesso,10,0.15.00,3,12.30.00,17.00.00,Si,Lunedì Martedì Giovedì Venerdì 9.00 settimanalmente,,
12/05/2024 19.16.01,Si,Android,No,,,,Qualche volta,No,,,Raramente,Spesso,Direttamente all'auto,No,Sempre,Raramente,15,0.35.00,2,7.00.00,10.00.00,Si,"più o meno ogni 2/3 giorni a settimana per andare dalla mia ragazza, ci metto un 20 minuti facendo 10km,",,
